path,original_bytes,new_bytes,saved_bytes,saved_percent
animation/article1_animation.png,9539665,1919553,7620112,80
animation/article2_animation.png,98109,114410,0,0
animation/article5_animation.png,1096834,1237188,0,0
animation/article4_animation.png,1859099,2192510,0,0
animation/article3_animation.png,354644,405382,0,0
branding/article4_branding.png,1859099,2192510,0,0
branding/article2_branding.png,98109,114410,0,0
branding/article3_branding.png,354644,405382,0,0
branding/article5_branding.png,1096834,1237188,0,0
branding/article1_branding.png,9539665,1919553,7620112,80
com_actus/article2_com_actus.png,98109,114410,0,0
com_actus/article4_com_actus.png,1859099,2192510,0,0
com_actus/article1_com_actus.png,9539665,1919553,7620112,80
com_actus/article3_com_actus.png,354644,405382,0,0
com_actus/article5_com_actus.png,1096834,1237188,0,0
edito/article3_edito.png,693364,824414,0,0
edito/article2_edito.png,283071,333045,0,0
edito/article5_edito.png,727018,886657,0,0
edito/article4_edito.png,473763,551838,0,0
edito/article1_edito.png,440096,501487,0,0
formations/article2_formations.png,98109,114410,0,0
formations/article4_formations.png,1859099,2192510,0,0
formations/article3_formations.png,354644,405382,0,0
formations/article5_formations.png,1096834,1237188,0,0
formations/article1_formations.png,9539665,1919553,7620112,80
header_footer/logo.png,29338,36488,0,0
header_footer/video.png,2374,1474,900,38
header_footer/facebook.png,1904,794,1110,58
header_footer/linkin.png,1848,700,1148,62
header_footer/logoN.png,31347,37642,0,0
outils_astuces/article4_outils_astuces.png,1859099,2192510,0,0
outils_astuces/article2_outils_astuces.png,98109,114410,0,0
outils_astuces/article1_outils_astuces.png,9539665,1919553,7620112,80
outils_astuces/article5_outils_astuces.png,1096834,1237188,0,0
outils_astuces/article3_outils_astuces.png,354644,405382,0,0
solutions_insights/article3_solutions_insights.png,354644,405382,0,0
solutions_insights/article1_solutions_insights.png,9539665,1919553,7620112,80
solutions_insights/article2_solutions_insights.png,98109,114410,0,0
solutions_insights/article5_solutions_insights.png,1096834,1237188,0,0
solutions_insights/article4_solutions_insights.png,1859099,2192510,0,0
zoom_materiel/article4_zoom_materiel.png,1859099,2192510,0,0
zoom_materiel/article3_zoom_materiel.png,354644,405382,0,0
zoom_materiel/article5_zoom_materiel.png,1096834,1237188,0,0
zoom_materiel/article2_zoom_materiel.png,98109,114410,0,0
zoom_materiel/article1_zoom_materiel.png,9539665,1919553,7620112,80
tarif.png,683757,627954,55803,8